,category,question,answer
10,Infection Control,Why does CDC continue to recommend respiratory protection equivalent or higher to the level provided by an N95 disposable filtering facepiece respirator for care of patients with known or suspected COVID-19?,"CDC’s guidance to use NIOSH-approved N95 or equivalent or higher level respirators when providing care for patients with suspected or confirmed SARS-CoV-2 infection is based on the current understanding of SARS-CoV-2 and related respiratory viruses.  Current knowledge about modes of SARS-CoV-2 transmission are described in the Scientific Brief: SARS-CoV-2 Transmission. Facemasks commonly used during surgical procedures will provide barrier protection against droplet sprays contacting mucous membranes of the nose and mouth, but they are not designed to protect wearers from inhaling small particles. N95 and equivalent or higher level respirators, such as other disposable filtering facepiece respirators, powered air-purifying respirators (PAPRs), and elastomeric respirators, provide both barrier and respiratory protection because of their fit and filtration characteristics. Respirators should be used as part of a respiratory protection program that provides staff with medical evaluations, training, and fit testing. Although facemasks are routinely used for the care of patients with common viral respiratory infections, N95 or equivalent or higher level respirators are routinely recommended for emerging pathogens like SARS CoV-2, which have the potential for transmission via small particles, the ability to cause severe infections, and limited or no treatment options.  While the situation is evolving for SARS-CoV-2, CDC continues to recommend respiratory protection while the impact of new variants are being assessed."
11,Infection Control,"What personal protective equipment (PPE) should be worn by individuals transporting patients with suspected or confirmed SARS-CoV-2 infection within a healthcare facility? For example, what PPE should be worn when transporting the patient to radiology for imaging that cannot be performed in the patient room?","In general, transport and movement of a patient with suspected or confirmed SARS-CoV-2 infection outside of their room should be limited to medically essential purposes. If being transported outside of the room, such as to radiology, healthcare personnel (HCP) in the receiving area should be notified in advance of transporting the patient. For transport, the patient should wear a facemask or cloth face covering (if tolerated) to contain secretions and their body should be covered with a clean sheet. If transport personnel must prepare the patient for transport (e.g., transfer them to the wheelchair or gurney), transport personnel should wear all recommended PPE (gloves, a gown, respiratory protection that is at least as protective as a fit tested NIOSH-certified disposable N95 filtering facepiece respirator and eye protection [i.e., goggles or disposable face shield that covers the front and sides of the face]). This recommendation is needed because these interactions typically involve close, often face-to-face, contact with the patient in an enclosed space (e.g., patient room). Once the patient has been transferred to the wheelchair or gurney (and prior to exiting the room), transporters should remove their gown and gloves and perform hand hygiene. The transporter should continue to wear their respirator.  The continued use of eye protection by the transporter is also recommended if there is potential that the patient might not be able to tolerate their facemask or cloth face covering for the duration of transport.   Additional PPE should not be required unless there is an anticipated need to provide medical assistance during transport (e.g., helping the patient replace a dislodged facemask). After arrival at their destination, receiving personnel (e.g., in radiology) and the transporter (if assisting with transfer) should perform hand hygiene and wear all recommended PPE. If still wearing their original respirator and eye protection, the transporter should take care to avoid self-contamination when donning the remainder of the recommended PPE. This cautious approach will be refined and updated as more information becomes available and as response needs change in the United States. Interim guidance for EMS personnel transporting patients with confirmed or suspected SARS-CoV-2 infection is available here. EMS personnel should wear all recommended PPE because they are providing direct medical care and in close contact with the patient for longer periods of time."
12,Infection Control,What personal protective equipment (PPE) should be worn by environmental services (EVS) personnel who clean and disinfect rooms of hospitalized patients with SARS-CoV-2 infection?,"In general, minimize the number of personnel entering the room of patients with SARS-CoV-2 infection. Healthcare facilities should consider assigning daily cleaning and disinfection of high-touch surfaces to nursing personnel who will already be in the room providing care to the patient. If this responsibility is assigned to EVS personnel, they should wear all recommended PPE when in the room. PPE should be removed upon leaving the room, immediately followed by performance of hand hygiene. After discharge, terminal cleaning can be performed by EVS personnel. They should delay entry into the room until time has elapsed for enough air changes to remove potentially infectious particles. After this time has elapsed, EVS personnel can enter the room and should wear well-fitting source control along with a gown and gloves when performing terminal cleaning. Eye protection should be added if splashes or sprays during cleaning and disinfection activities are anticipated or otherwise required based on the selected cleaning products. Shoe covers are not recommended at this time for SARS-CoV-2."
13,Infection Control,Which procedures are considered aerosol generating procedures in healthcare settings?,"Some procedures performed on patients are more likely to generate higher concentrations of infectious respiratory aerosols than coughing, sneezing, talking, or breathing. These aerosol generating procedures (AGPs) potentially put healthcare personnel and others at an increased risk for pathogen exposure and infection. Development of a comprehensive list of AGPs for healthcare settings has not been possible, due to limitations in available data on which procedures may generate potentially infectious aerosols and the challenges in determining if reported transmissions during AGPs are due to aerosols or other exposures. There is neither expert consensus, nor sufficient supporting data, to create a definitive and comprehensive list of AGPs for healthcare settings. Commonly performed medical procedures that are often considered AGPs, or that might create uncontrolled respiratory secretions, include: open suctioning of airways sputum induction cardiopulmonary resuscitation endotracheal intubation and extubation non-invasive ventilation (e.g., BiPAP, CPAP) bronchoscopy manual ventilation Based on limited available data, it is uncertain whether aerosols generated from some procedures may be infectious, such as: nebulizer administration*. high flow O2 delivery. *Aerosols generated by nebulizers are derived from medication in the nebulizer. It is uncertain whether potential associations between performing this common procedure and increased risk of infection might be due to aerosols generated by the procedure or due to increased contact between those administering the nebulized medication and infected patients. References related to aerosol generating procedures: Tran K, Cimon K, Severn M, Pessoa-Silva CL, Conly J (2012) Aerosol Generating Procedures and Risk of Transmission of Acute Respiratory Infections to Healthcare Workers: A Systematic Review. PLoS ONE 7(4)"
14,Infection Control,How long does an examination room need to remain vacant after being occupied by a patient with confirmed or suspected COVID-19?,"The amount of time that the air inside an examination room remains potentially infectious depends on a number of factors including the size of the room, the number of air changes per hour, how long the patient was in the room, if the patient was coughing or sneezing, and if an aerosol-generating procedure was performed. In general, it is recommended to restrict HCP and patients without PPE from entering the room until sufficient time has elapsed for enough air changes to remove potentially infectious particles. General guidance is available on clearance rates under differing ventilation conditions. In addition to ensuring sufficient time for enough air changes to remove potentially infectious particles, HCP should clean and disinfect environmental surfaces and shared equipment before the room is used for another patient."
15,Infection Control,"My hospital is experiencing a shortage of isolation gowns. To preserve our supply, can we stop using gowns for the care of patients with methicillin-resistant Staphylococcus aureus (MRSA) and other endemic multidrug-resistant oragnisms (MDROs), and Clostridioides difficile?","CDC has released information about strategies to optimize the supply of isolation gowns. Healthcare facilities should refer to that guidance and implement the recommended strategies to optimize their current supply of gowns. This includes shifting toward the use of washable cloth gowns, if feasible. The use of gowns as part of Contact Precautions in the context of MDROs has been implemented primarily to reduce the risk of transmission to other patients rather than to protect healthcare personnel (HCP). Facilities with shortages could consider suspending the use of gowns for the care of patients with endemic MDROs, such as MRSA, VRE, and ESBL-producing Gram-negative bacilli except as required for Standard Precautions. Facilities should assess their local epidemiology to determine which MDROs are considered endemic. Regardless of the use of gowns, HCP at facilities should continue to wear gloves for contact with these patients and their environment. Hand hygiene should continue to be emphasized. Facilities should also attempt to place patients colonized or infected with an MDRO in a private room, if available. Caring for patients who have highly resistant Gram-negative organisms (e.g., carbapenem-resistant Enterobacteriacae) and other MDROs (e.g., Candida auris) that are not considered endemic:  Rather than gowns being donned for every room entry, they could be reserved for use as part of Standard Precautions and also prioritized for high-contact patient care activities that pose highest risk for transfer of pathogens from the patient to HCP. Examples of such high-contact care activities include dressing, bathing/showering, transferring, providing hygiene, changing linens, changing briefs or assisting with toileting, device care or use (central line, urinary catheter, feeding tube, tracheostomy/ventilator), and wound care. To further preserve gowns, HCP are recommended to bundle high-contact care activities as part of individual care encounters.  Regardless of the use of gowns, HCP at facilities should continue to wear gloves for contact with these patients and their environment. Hand hygiene should continue to be emphasized. Facilities should also attempt to place patients colonized or infected with an MDRO in a private room, if available. Caring for patients with Clostridioides difficile infections (CDI):  Facilities should continue using Contact Precautions (putting on a gown and gloves upon entry into the patient’s room and placing the patient in a private room) for the care of symptomatic patients with CDI.  As part of a supplemental strategy to prevent transmission of CDI, some facilities have implemented Contact Precautions for the care of patients at high risk for CDI who have asymptomatic carriage of Clostridioides difficile. There are limited data about the role of asymptomatic carriage in transmission of CDI. In this setting of a critical national shortage of gowns, facilities should consider suspending this approach until the shortage is addressed. Gowns should still be used as part of Standard Precautions."
16,Infection Control,"A healthcare provider at our facility was recently diagnosed with COVID-19. What time period and criteria do we use to determine the patients, visitors, and other healthcare personnel (HCP) who might have been exposed to this individual while he/she was potentially infectious?","Anyone who had prolonged close contact (within 6 feet for a cumulative total of 15 minutes or more over a 24-hour period) with the infected healthcare provider might be at risk for transmission. If the provider had COVID-19 symptoms, the provider is considered potentially infectious beginning 2 days before symptoms first appeared until the provider meets criteria to return to work. If the provider did not have symptoms, collecting information about when the provider may have been exposed could help inform the period when they were infectious. If an exposure is identified. The provider should be considered potentially infectious beginning 24 hours after the exposure until criteria to return to workare met. If the date of exposure cannot be determined. For the purposes of contact tracing, it is reasonable to use a cutoff of 2 days before the specimen testing positive for SARS-CoV-2 was collected as the starting point, continuing until the criteria to criteria to return to workare met. Contact tracing is generally recommended for anyone who had prolonged close contact with the person with SARS-CoV-2 infection during these time periods.  While this question addresses exposure to a potentially infectious provider, the following actions are also recommended if the potentially infectious individual is a patient or visitor. Recommended actions for HCP, patients, and visitors: Perform a risk assessment and perform testing and apply work restrictions for other HCP who were exposed to the infected provider as described in the Interim Guidance for Managing Healthcare Personnel with SARS-CoV-2 Infection or Exposure to SARS-CoV-2. Test and manage exposed patients who are currently admitted to the healthcare facility as described in the Interim Infection Prevention and Control Recommendations for Healthcare Personnel During the COVID-19 Pandemic Perform contact tracing of exposed patients who are not currently admitted to the healthcare facility and for visitors as described in the Interim Guidance on Developing a COVID-19 Case Investigation and Contact Tracing Plan: Overview. Healthcare facilities should have a process for notifying the health department about known or suspected cases of SARS-CoV-2 infection, and should establish a plan, in consultation with local public health authorities, for how exposures in a healthcare facility will be investigated and how contact tracing will be performed.  The plan should address the following: Who is responsible for identifying contacts and notifying potentially exposed individuals? How will such notifications occur? What actions and follow-up are recommended for those who were exposed? Contact tracing should be carried out in a way that protects the confidentiality of affected individuals to the extent possible and is consistent with applicable laws and regulations.  HCP and patients who are currently admitted to the facility or were transferred to another healthcare facility should be prioritized for notification.  These groups, if infected, have the potential to expose a large number of individuals at higher risk for severe disease, or in the situation of admitted patients, be at higher risk for severe illness themselves. Information for health departments about case investigation and contact tracing is available in the Interim Guidance on Developing a COVID-19 Case Investigation and Contact Tracing Plan: Overview.  This guidance could also be helpful to healthcare facilities performing such activities."
17,Infection Control,"Questions addressing the proper handling of healthcare personnel (HCP) who have recovered from SARS-CoV-2 infection, but are still within 3 months of onset of their prior infection.","If HCP within 3 months of their initial infection develop symptoms consistent with COVID-19, should they be excluded from work or retested? If HCP develop symptoms consistent with COVID-19 within 3 months of a confirmed SARS-CoV-2 infection they should be evaluated to identify potential etiologies for their symptoms. If an etiology for the symptoms other than SARS-CoV-2 cannot be identified, they may need to be retested for SARS-CoV-2 infection. If testing is performed, an antigen test instead of a nucleic acid amplification test (NAAT) is recommended.  Decisions about the need for and duration of work restriction should be based upon their suspected diagnosis (e.g., influenza, SARS-CoV-2 infection). Do HCP within 3 months of their initial infection need to wear all recommended personal protective equipment (PPE) when caring for patients with suspected or confirmed SARS-CoV-2 infection? For example, if there are limited respirators, should respirators be prioritized for HCP who have not been previously infected? Regardless of suspected or confirmed immunity, HCP should always wear all recommended PPE when caring for patients. In situations of PPE shortages, facilities should refer to CDC strategies for optimizing PPE supply. However, as with other infectious diseases (e.g., measles), allocation of available PPE should not be based on whether HCP have been previously infected or have evidence of immunity."
18,Infection Control,"If healthcare personnel (HCP) are living with someone who has been diagnosed with SARS-CoV-2 infection, should they be excluded from work? If so, for how long?","HCP with exposures in the community should be managed in the same way that HCP with exposure in a healthcare facility are managed. HCP who have been in close contact (within 6 feet of someone for a cumulative total of 15 minutes or more over a 24-hour period) with someone who has SARS-CoV-2 infection in the community should report their exposure to their occupational health program for guidance on need for testing and work restriction. The timing and risk level of exposures in the home can be difficult to characterize. If possible, HCP should avoid contact with the individual while they are potentially infectious (e.g., avoid being in same room). If they have been able to consistently avoid close contact with the infected individual (including in the 2 days prior to symptom onset) then they would not be classified as having a higher-risk exposure. However, if close contact could not be avoided, they should generally be classified as having a higher-risk exposure. The HCP’s last exposure is considered their last day of contact with the infected individual while they were potentially infectious, which may differ from when that individual was permitted to end isolation. For example, while an infected individual in the community who is asymptomatic or mildly ill (and meets other criteria) is allowed to end isolation 5 days after their symptom onset, they may remain infectious beyond 5 days. This is why patients or residents with SARS-CoV-2 in healthcare settings are recommended to remain in Transmission-Based Precautions for 10 days following their symptom onset. For the purposes of determining an exposure period for HCP living with an infected individual, the most conservative approach is to consider the infected individual to be infectious until 10 days following their symptom onset (assuming they do not meet other criteria requiring a longer duration of isolation). However, the risk for transmission might be diminished if at least 5 days have passed from onset of symptoms, contact with the infected individual is minimized, and both the HCP and the infected individual wear well-fitting source control while together in the home. If these mitigating factors are present, facilities could consider beginning the post-exposure quarantine period after Day 5 of the infected individual’s symptom onset. HCP who have had one or more isolated exposures, but are then able to avoid ongoing contact with the infected individual living with them, should be managed as described in the Table in the Interim Guidance for Managing Healthcare Personnel with SARS-CoV-2 Infection or Exposure to SARS-CoV-2. HCP who are not able to avoid ongoing close contact with the infected individual while they are contagious, should be managed as follows: If they are not up to date with all recommended COVID-19 vaccine doses, work restriction should include the entire exposure period when their household contact is potentially infectious (generally 10 days unless mitigating factors are present) and extend through the recommended post exposure quarantine period. For example, if the infected individual developed mild symptoms on October 1 (DAY 0), they may be considered potentially infectious from September 29 through October 11 (DAY 10). Work restriction for HCP would then be recommended from the date of their initial exposure though October 21 (10 days after their last exposure when the individual was potentially infectious), or October 18 (7 days after their last exposure if a viral test is collected within 48 hours prior to their return to work and is negative for SARS-CoV-2 and they do not develop symptoms). If they are up to date with all recommended COVID-19 vaccine doses, they do not require work restriction unless they develop symptoms, test positive for SARS-CoV-2 infection, are moderately to severely immunocompromised, or are otherwise advised to be excluded from work by their occupational health program or public health authorities. If these HCP continue to work, they should be tested immediately (but not earlier than 24 hours after the initial exposure) and, if negative, again every 3 to 7 days with the final test occurring 5 to 7 days after their last exposure. If HCP develop SARS-CoV-2 infection, they should be restricted from work until they meet the return to work criteria. Work restriction and post exposure testing of asymptomatic exposed HCP who have recovered from SARS-CoV-2 infection in the prior 3 months might not be necessary. If testing is performed, an antigen test instead of a nucleic acid amplification test (NAAT) is recommended."
19,Infection Control,Does CDC recommend the use of oral antimicrobial rinses before dental appointments to prevent the transmission of SARS-CoV-2?,"Preprocedural mouth rinses (PPMR) with an antimicrobial product (e.g. chlorhexidine gluconate, povidone-iodine) have been shown to reduce the level of oral microorganisms in aerosols and spatter generated during dental procedures. Evidence from recent studies suggest that some PPMR solutions are efficacious and may temporarily decrease the viral load of SARS-CoV-2 in the oral cavity. Targeted clinical studies are currently underway to learn more about the potential role of PPMR and the prevention of SARS-CoV-2 transmission. Because more research is needed to demonstrate the effectiveness of PPMR in preventing transmission of SARS-CoV-2 in the dental setting, CDC does not provide a recommendation for or against the use of PPMR before dental procedures. However, if PPMR are used before dental procedures, they should be used as an adjunct to other infection prevention and control measures recommended to decrease the spread of infectious diseases in dental settings. Such measures include delaying elective dental procedures for patients with suspected or confirmed SARS-CoV-2 infection until they are no longer infectious or for patients who meet criteria for quarantine until they complete quarantine."
20,"Testing, Diagnosis, and Notification",How do you test a patient for infection wtih SARS-COV-2?,"Clinicians are able to access laboratory testing through state and local public health laboratories, as well as commercial and clinical laboratories across the country. The Association of Public Health Laboratories provides a list of states and territories with laboratories that are using COVID-19 viral tests. For more information, see Testing in U.S. Clinicians should direct testing questions to their state health departments. Commercial reference laboratories are also able to offer a larger volume of testing for SARS-CoV-2. CDC has guidance for who should be tested, but decisions about testing are at the discretion of state and local health departments and/or individual clinicians. Healthcare providers should report positive  results to their local/state health department CDC does not directly collect these data directly."
21,"Testing, Diagnosis, and Notification",Do existing commercially available multiple respiratory virus panels detect SARS-CoV-2?,"Yes. There are commercially developed respiratory panels with multi-pathogen molecular assays that can detect respiratory pathogens, including SARS-CoV-2, influenza, and other human coronaviruses that can cause acute respiratory illness. The U.S. Food and Drug Administration (FDA) maintains a list of tests that includes viral tests with Emergency Use Authorization (EUA)."
22,"Testing, Diagnosis, and Notification","If a patient tests positive for another respiratory virus, should that exclude SARS-CoV-2 as a cause of illness?","Patients can be infected with more than one virus at the same time. Coinfections with other respiratory viruses in people with COVID-19 have been reported. Therefore, identifying infection with one respiratory virus does not exclude SARS-CoV-2 virus infection."
23,"Testing, Diagnosis, and Notification",Should chest CT be used for diagnosis of COVID-19?,"Clinicians considering use of chest CT scans for diagnosis or management of COVID-19 patients should consider whether such imaging will change clinical management. The American College of Radiology (ACR) recommends that CT should not be used to screen for COVID-19, or as a first-line test to diagnose COVID-19, and that CT should be used sparingly and reserved for hospitalized, symptomatic patients with specific clinical indications for CT. Appropriate infection control procedures should be followed before scanning subsequent patients. For more information see, ACR Recommendations for the use of Chest Radiography and Computed Tomography (CT) for Suspected COVID-19 Infectionexternal icon."
24,"Testing, Diagnosis, and Notification",Whom should healthcare providers notify if they suspect a patient has COVID-19?,"Healthcare providers should immediately notify infection control personnel at their facility if they suspect COVID-19 in a patient. If a patient tests positive, providers should report that positive result to their local/state health department."
